weight logl norm alpha beta
3.988667444919001781e-58 -1.399048101993182058e+02 9.325707631998035652e+00 3.136272433839736085e+00 1.073730338616668556e+00
6.106192944259479834e-58 -1.394764639077950221e+02 8.693737183008643399e+00 2.774748516231282380e+00 5.613137250929266520e-01
6.275940337087323387e-58 -1.394465440724271446e+02 2.777873541098987431e+00 1.133929530141447595e+00 5.871753758550564140e-01
1.322946810091271960e-57 -1.386983206274278189e+02 4.490527660180421599e+00 1.174518946012107490e+00 1.010087129916412918e+00
1.008693538817316537e-56 -1.366644412471428325e+02 1.001185104828062222e+00 1.294390202060392792e+00 9.068454799198044647e-02
1.094225776605813010e-56 -1.365805501548854011e+02 6.286073030552051577e+00 1.296944047348212115e+00 1.196689752573133037e+00
3.597312361689790956e-56 -1.353879102143002910e+02 5.081720885169755952e+00 1.279542317211886715e+00 9.387692197172893271e-01
6.590584682944871430e-56 -1.347799551474135740e+02 1.302522216393939836e+00 1.271142543497943977e+00 9.264195243742290309e-02
8.734844965738090367e-56 -1.344957770199448248e+02 8.041753663312736222e-01 1.077549901756169604e+00 7.093157724865121194e-01
1.521430291431934248e-55 -1.339383612481335888e+02 7.630736813477176028e+00 1.739019545647765730e+00 3.495042517871790322e-01
1.940283633179856582e-55 -1.336926779566930179e+02 4.499932573899029009e+00 1.190896388949357121e+00 1.063442880427421633e+00
3.103868035005001665e-54 -1.309177779418362775e+02 3.221689698414892611e+00 3.164690811366580370e+00 3.305357960226030234e-01
3.193538465822875974e-54 -1.308867974897745512e+02 8.063433066092399182e-01 1.160424093416302815e+00 1.016856328939217624e+00
3.809676500810911679e-54 -1.307078827511475652e+02 6.566380786232495215e-01 2.237919424452749162e+00 1.140963668940047748e+00
4.454470759827187762e-54 -1.305490187717880417e+02 4.887237112508610259e+00 2.877955256144744567e+00 2.651110046937447118e-01
5.896096253246816123e-54 -1.302661365488263243e+02 5.898535436658062459e+00 2.867830957704762262e+00 3.792138584679868862e-01
7.568325901724246823e-54 -1.300139551348110274e+02 7.656517819297269156e+00 3.106241022869495882e+00 8.810857355757578668e-01
1.071333769569883743e-53 -1.296639375499261746e+02 8.139915793474621353e+00 1.491526853069128800e+00 1.178642425527722359e+00
1.776561896163936608e-53 -1.291556619582569851e+02 9.365943309224649127e-01 1.031053851123619136e+00 1.388517134551689125e+00
4.452527590906620103e-53 -1.282343700028787055e+02 6.524074111937792075e-01 2.296191894880747597e+00 1.043294830383626914e+00
6.834671767714038907e-53 -1.278033334890211279e+02 3.986873865487958746e+00 1.425419801390123364e+00 3.845639060315685365e-01
1.168985378430583350e-52 -1.272641206681161208e+02 6.933217135505414852e+00 2.952590665042886808e+00 6.095219041797447224e-01
1.719872134070392626e-52 -1.268755068953643672e+02 3.585262232154771134e-01 3.109744735564699880e+00 1.679572407211629703e-01
3.230546265559156240e-52 -1.262426055973704706e+02 9.437436075970996541e+00 2.634904835259599842e+00 5.444174691507068786e-01
4.172091315890334102e-52 -1.259843394180732759e+02 2.571642992775156067e+00 1.396877013389347111e+00 1.320748485898475266e-01
1.299284697235135076e-51 -1.248458578696377543e+02 7.564955616330054866e+00 1.516520172243706055e+00 1.062496860542072818e+00
1.675244794110787751e-51 -1.245892124494389464e+02 7.932404493652453148e+00 2.594907089852326543e+00 3.478550964075408092e-01
