norm alpha beta
2.484253039455586176e+00 2.574706348875524853e+00 2.260264594185322773e-01
2.672584473972934305e+00 2.605993441203787064e+00 3.628688344204064053e-01
3.219629005886829098e+00 2.533721114605330449e+00 3.697169493203159019e-01
2.522331357810607688e+00 2.644303874965248102e+00 3.330071587258919830e-01
2.455646738972778298e+00 2.548803560474555141e+00 2.865707000986433828e-01
3.152333681675009824e+00 2.568562346199335433e+00 4.352171714022859961e-01
2.455940616097506801e+00 2.666545941741158998e+00 2.998865900380033866e-01
2.965636827772346162e+00 2.796075981395857113e+00 5.076718302444613862e-01
2.970183838674169685e+00 2.505151197370066640e+00 2.604438061447416075e-01
2.767062230363665165e+00 2.576019608686308970e+00 4.575854179861622573e-01
2.666469783613853117e+00 2.638647130669035779e+00 3.298070189726474144e-01
2.636873463312043864e+00 2.628539196209066731e+00 2.806455778254463573e-01
2.357242435975251293e+00 2.565067858382744870e+00 1.644211016683897464e-01
2.972212953459433038e+00 2.557609740893810546e+00 2.700780637229733272e-01
2.672527290205118256e+00 2.649611796657165286e+00 4.709561414801919366e-01
2.621938454910629712e+00 2.586662820421296249e+00 1.899105191584954389e-01
3.002393213345656786e+00 2.670228352964227003e+00 6.004237250225255007e-01
2.644912372085729491e+00 2.609999322848817638e+00 2.656260052600622479e-01
2.740381506216134966e+00 2.592057358370354780e+00 4.378777742114358107e-01
2.669454959520723314e+00 2.619211198467681356e+00 3.061746884618771758e-01
3.163217710585412679e+00 2.465007731909529376e+00 4.161582418210907353e-01
2.955078804819385230e+00 2.539527263028228621e+00 3.274150020133169692e-01
2.610792503676141685e+00 2.597026183398690513e+00 2.819704023333545195e-01
3.449894712732923363e+00 2.673070354148776584e+00 5.402921270291737299e-01
2.525009477127718949e+00 2.607896615209771340e+00 2.800065271691474789e-01
2.621689769959239857e+00 2.658259989967902470e+00 3.937236505285652832e-01
2.624276900825342818e+00 2.447320175122993824e+00 1.615792098947625988e-01
2.746526474731747491e+00 2.547995468750968051e+00 2.630034217311886247e-01
2.933816301704287088e+00 2.604105444512283096e+00 3.366001165473982981e-01
2.972886122645704621e+00 2.569429518562744263e+00 4.915042341623300226e-01
2.605821890807814345e+00 2.631091476957006847e+00 2.440377405449167258e-01
2.621973370817412885e+00 2.553158745151344000e+00 3.425271063974767993e-01
3.201745943671183703e+00 2.678660599960956734e+00 5.062692455965046578e-01
2.965636827772346162e+00 2.796075981395857113e+00 5.076718302444613862e-01
3.519681456489978988e+00 2.515492042468753020e+00 3.438260798932775142e-01
2.432779685312220330e+00 2.588857345426088585e+00 2.814584639749378447e-01
2.698431409318703622e+00 2.436222246908813727e+00 2.233920129461492987e-01
2.744824480956697510e+00 2.587582446655887658e+00 3.196759118863128912e-01
3.111910311255150940e+00 2.568949441524849497e+00 5.386224315972575338e-01
2.751616120284368527e+00 2.635623147459037696e+00 4.516705481747432804e-01
2.781364863048264358e+00 2.777240501485574775e+00 4.750303951046438433e-01
2.960910958350307709e+00 2.609176524625874016e+00 3.589078111636051505e-01
3.066784837098934346e+00 2.630447784734920802e+00 3.224836211500686223e-01
3.007501032534555474e+00 2.758673526299021628e+00 5.914648116342079431e-01
3.234166836803684664e+00 2.662964299332687190e+00 5.558165095527599631e-01
2.566201268065312568e+00 2.634720476452900861e+00 3.132723721129940797e-01
3.253284195072097873e+00 2.632805040975897182e+00 5.204319985330614351e-01
2.998712836953952632e+00 2.613794212466681532e+00 3.381446437636750901e-01
2.917464138708904642e+00 2.619740405560197161e+00 2.556017453877841850e-01
3.063983002660669808e+00 2.541923692816435487e+00 3.454989118153580785e-01
2.362648856878895476e+00 2.622528969604907001e+00 2.456624427189695870e-01
2.431489375892923910e+00 2.519769615408447461e+00 1.364315972291014756e-01
3.095930574294553317e+00 2.553341229990619521e+00 4.910656614595921843e-01
2.490763187605413709e+00 2.660127373084728575e+00 1.955582476262439640e-01
3.150634441884469616e+00 2.674706279954200738e+00 4.539874194992981060e-01
2.198877818168347709e+00 2.743756978240768696e+00 3.222749013448156230e-01
2.825047741560581915e+00 2.661315772541447355e+00 3.207412892948248717e-01
2.856899141115304630e+00 2.515766944786042014e+00 2.820127379325960693e-01
2.768949016710302136e+00 2.599627009180692561e+00 3.331668996287147078e-01
2.507374022082243581e+00 2.654523732548879522e+00 3.162239954787826601e-01
3.460838456661232243e+00 2.540799359954610370e+00 4.533532790815218982e-01
2.302391051331583505e+00 2.706084694585454642e+00 4.379259396724885511e-01
2.981230177328044295e+00 2.500854494762086766e+00 2.795575441664701066e-01
2.687120145765138357e+00 2.675777624310645919e+00 3.735015287170262432e-01
2.369528430340916536e+00 2.676023970717563927e+00 4.115071964022282147e-01
2.961060588102830682e+00 2.495861454588628181e+00 3.563252194687105967e-01
3.182307018367813267e+00 2.730832701439688925e+00 5.062520092785450787e-01
3.130909013696864918e+00 2.702632092826537935e+00 4.907793207637978772e-01
2.804081180012559127e+00 2.646201677558924992e+00 3.544304608060945827e-01
2.562443098613137238e+00 2.677571433312205595e+00 5.156673543470686738e-01
2.164620922309180351e+00 2.602847669742916814e+00 2.348014929704210774e-01
3.076811217238363483e+00 2.556972324001590913e+00 3.807609129294952099e-01
